,NAME_1,studies,lat,long
39,Oregon,16,43.8,-120.6
53,Alberta,7,53,-114
6,California,7,37.5,-120.5
49,Washington,5,47.5,-120.5
28,Montana,5,46.9,-110
65,Québec,2,,
66,Saskatchewan,1,53,-106.5
54,British Columbia,1,53,-123
43,South Dakota,1,44.3,-100.5
7,Colorado,1,39,-105.5
67,Yukon,0,,
64,Prince Edward Island,0,,
63,Ontario,0,,
62,Nunavut,0,,
61,Nunavut,0,,
60,Nunavut,0,,
59,Nova Scotia,0,,
58,Northwest Territories,0,,
57,Newfoundland and Labrador,0,,
56,New Brunswick,0,,
55,Manitoba,0,,
52,Wyoming,0,,
51,Wisconsin,0,,
50,West Virginia,0,,
48,Virginia,0,,
47,Vermont,0,,
46,Utah,0,,
45,Texas,0,,
44,Tennessee,0,,
42,South Carolina,0,,
41,Rhode Island,0,,
40,Pennsylvania,0,,
38,Oklahoma,0,,
37,Ohio,0,,
36,North Dakota,0,,
35,North Carolina,0,,
34,New York,0,,
33,New Mexico,0,,
32,New Jersey,0,,
31,New Hampshire,0,,
30,Nevada,0,,
29,Nebraska,0,,
27,Missouri,0,,
26,Mississippi,0,,
25,Minnesota,0,,
24,Michigan,0,,
23,Massachusetts,0,,
22,Maryland,0,,
21,Maine,0,,
20,Louisiana,0,,
19,Kentucky,0,,
18,Kansas,0,,
17,Iowa,0,,
16,Indiana,0,,
15,Illinois,0,,
14,Idaho,0,,
13,Hawaii,0,,
12,Georgia,0,,
11,Florida,0,,
10,District of Columbia,0,,
9,Delaware,0,,
8,Connecticut,0,,
5,Arkansas,0,,
4,Arizona,0,,
3,Alaska,0,,
2,Alaska,0,,
1,Alabama,0,,
